TRADEDATE,CLOSE,VALUE,VOLUME
2015-09-11,74.1,4219275687.4,57012070.0
2015-09-14,74.88,5713597886.6,76431280.0
2015-09-15,74.85,4760349633.7,63782210.0
2015-09-16,77.71,9540095245.1,124565490.0
2015-09-17,76.49,7203069766.9,93647050.0
2015-09-18,75.5,7881746671.5,103518130.0
2015-09-21,75.94,5987130302.1,78643830.0
2015-09-22,74.39,7638511118.2,102296950.0
2015-09-23,73.74,6930161849.6,93374560.0
2015-09-24,73.33,7474064381.4,101789760.0
2015-09-25,74.97,6397364154.7,86018340.0
2015-09-28,74.57,5180139666.1,69169380.0
2015-09-29,75.5,6249207739.1,83624660.0
2015-09-30,75.3,6568630889.0,86525120.0
2015-10-01,74.51,8233421316.3,109384990.0
2015-10-02,73.8,7273240358.1,98443470.0
2015-10-05,76.2,7569718723.4,100484850.0
2015-10-06,77.31,7818274197.7,102125210.0
2015-10-07,79.65,14189390496.0,181436920.0
2015-10-08,83.11,18910818496.0,234046020.0
2015-10-09,85.77,17405911488.5,205573820.0
2015-10-12,85.45,12417854664.3,146007620.0
2015-10-13,85.0,8465295962.3,99736900.0
2015-10-14,86.81,9788569278.1,114246530.0
2015-10-15,87.7,12293996742.4,139294580.0
2015-10-16,88.52,12775243110.9,143386100.0
2015-10-19,87.07,10285534549.7,118152120.0
2015-10-20,88.14,9606479105.3,109382370.0
2015-10-21,86.95,8597024871.0,99081310.0
2015-10-22,86.53,7864275604.3,90618250.0
2015-10-23,90.45,12248050433.6,137358890.0
2015-10-26,92.3,14156296955.1,154684320.0
2015-10-27,89.0,12404568510.7,137755700.0
2015-10-28,90.05,11391289093.9,128577920.0
2015-10-29,88.6,10264611464.2,114433270.0
2015-10-30,90.53,7671652354.9,85414040.0
2015-11-02,93.65,11533162305.0,125019670.0
2015-11-03,95.4,11599161951.2,122438730.0
2015-11-05,95.5,12206480529.7,127769250.0
2015-11-06,94.09,10073225196.8,106579170.0
2015-11-09,92.95,7402085478.9,79039400.0
2015-11-10,94.35,6655777226.0,71523380.0
2015-11-11,94.0,7269524919.6,77489920.0
2015-11-12,94.29,7419518325.5,79197840.0
2015-11-13,93.4,7405583101.2,79071320.0
2015-11-16,95.8,8334568871.8,88111460.0
2015-11-17,102.5,18037339094.4,181101510.0
2015-11-18,104.0,14142767356.0,136661570.0
2015-11-19,104.86,20252810885.6,191081370.0
2015-11-20,107.3,11970586652.5,113710820.0
2015-11-23,109.98,18771890126.7,173233750.0
2015-11-24,105.6,16553006789.6,154170880.0
2015-11-25,108.51,12803338864.7,119491800.0
2015-11-26,106.48,8668625700.7,80653490.0
2015-11-27,104.55,9777583229.9,93334840.0
2015-11-30,102.9,9118566860.4,87247790.0
2015-12-01,101.3,10092767266.0,98894750.0
2015-12-02,102.5,9173964817.2,89735480.0
2015-12-03,104.0,9954576276.4,96438740.0
2015-12-04,103.05,11195660819.9,107660660.0
2015-12-07,103.0,9468669139.4,91341440.0
2015-12-08,97.0,15881189863.0,159235470.0
2015-12-09,100.66,11798511398.8,119148390.0
